,Tab,A.C.A,1
,Bulk,ABSORPTION BASE (ECERIN),522
50 mg,Tab,ACARBOSE,2016
100 mg,Tab,ACARBOSE,2015
120 mg/5 ml,Oral Sol or Syr,ACETAMINOPHEN (PARACETAMOL),4
100 mg/ml,Ped Drop,ACETAMINOPHEN,3
80 mg,Scored Chewable Tab,ACETAMINOPHEN (PARACETAMOL),9
325 mg,Supp,ACETAMINOPHEN (PARACETAMOL),8
325 mg,Tab,ACETAMINOPHEN (PARACETAMOL),7
500 mg,Tab,ACETAMINOPHEN (PARACETAMOL),2012
120 mg/5 ml,Oral Susp,ACETAMINOPHEN (PARCETAMOL),5
125 mg,Ped Supp,ACETAMINOPHEN (PARACETAMOL),6
300 mg - 20 mg,Tab,ACETAMINOPHEN CODEINE,2243
300 mg - 10 mg,Tab,ACETAMINOPHEN CODEINE,8440
500 + 8,Tab,ACETAMINOPHEN CODEINE,10
250 mg,Tab,ACETAZOLAMIDE,11
500 mg,Inj,ACETAZOLAMIDE (AS SODIUM),12
,Bulk,ACETIC ACID,13
,Bulk,ACETIC ACID 1/5% EAR,60010
,Bulk,ACETONE,14
1%,Ophth Amp,ACETYLCHOLINE CHLORIDE,15
200 mg/ml (2 g/10 ml),Inj,ACETYLCYSTEINE,16
200 mg,Tab,ACETYLCYSTEINE,1868
3%,Ophth Oint,ACICLOVIR,20
400 mg,Scored Tab,ACICLOVIR,23
200 mg,Tab,ACICLOVIR,21
800 mg,Tab,ACICLOVIR,12401
500 mg,Inj,ACICLOVIR,2366
250 mg,Inj,ACICLOVIR (AS SODIUM),22
10 mg,Cap,ACITRETIN (NEOTIGASON),17
25 mg,Cap,ACITRETIN (NEOTIGASON),18
40MG/0.8ML,Inj,ADALIMUMAB,16164
10 mg,Tab,ADEFOVIR DIPIVOXIL,6853
3 mg/ml (2 ml),Inj,ADENOSINE,1836
,Tab,ADULT COLD,25
400 mg/10 ml,Susp,ALBENDAZOL,1376
200 mg,Tab,ALBENDAZOL,1377
400 mg,Tab,ALBENDAZOL,26
5% (100 ml),Infu,ALBUMIN (HUMAN),28
5% ( 250 ml),Inj,ALBUMIN (HUMAN),11504
5% (500 ml),Infu,ALBUMIN (HUMAN),12520
20% (100 ml),Inj,ALBUMIN (HUMAN),6887
20% (10 ml),Inj,ALBUMIN (HUMAN),99900
20% (250 ml),Inj,ALBUMIN (HUMAN),99901
20% (500 ml),Inj,ALBUMIN (HUMAN),99902
20% (50 ml),Infu,ALBUMIN (HUMAN),27
,Bulk,ALCHOLE IODE,60020
10 mg,Tab,ALENDRONATE (AS SODIUM),1842
35 mg,Tab,ALENDRONATE (AS SODIUM),2405
70 mg,Tab,ALENDRONATE (AS SODIUM),2406
0.5 mg/ml (5 ml),Inj,ALFENTANIL,11151
0.5 mg/ml (2 ml),Inj,ALFENTANIL (AS HCL),1378
0.5 mg/ml (10 ml),Inj,ALFENTANIL (AS HCL),1365
50mg,Vial,ALGLUCOSIDASE,12292
100 mg,Tab,ALLOPURINOL,38
300 mg,Tab,ALLOPURINOL,2017
,Bulk,ALMOND OIL,39
,Bulk,ALMOND OIL BITTER,1974
,Oint,ALPHA,1381
0.5 mg,Scored Tab,ALPRAZOLAM,40
1 mg,Scored Tab,ALPRAZOLAM,1382
50 mg,Tab,ALPRENOLOL HCL,41
,Bulk,ALUMINIUM CHLORIDE,44
300 mg,Chewable Tab,ALUMINIUM HYDROXIDE (AS DRIED GEL),45
320 mg/5 ml,Susp,ALUMINIUM HYDROXIDE (AS GEL),46
,Chewable Tab,ALUMINIUM MG,48
,Susp,ALUMINIUM MG,2018
,Susp,ALUMINIUM MG,47
,Chewable Tab,ALUMINIUM MG S,50
,Susp,ALUMINIUM MG S,49
10 mg/Sachet,Susp,ALUMINIUM MG S,2019
100 mg,Cap,AMANTADINE HCL,51
10 mg,Tab,AMBENONIUM CHLORIDE,52
250 mg/ml (500 mg) (2ml),Inj,AMIKACIN (AS SULFATE),54
50 mg/ml (100mg) (2ml),Inj,AMIKACIN (AS SULFATE),53
5 mg,Tab,AMILORIDE,7038
50 mg,Tab,AMILORIDE,99903
250ML 10%,Infu,AMINO ACID,14115
500 ml,Infu,AMINOACID 5%,57
500 ml,Infu,AMINOACID 10%,56
250 mg,Scored Tab,AMINOGLUTETHIMIDE,58
250 mg/10 ml,Inj,AMINOPHYLLINE,61
150 mg/3 ml,Inj,AMIODARONE HCI,64
200 mg,Scored Tab,AMIODARONE HCI,63
10 mg,Coated Tab,AMITRIPTYLINE HCI,65
